Ball X Coordinates,Ball Y coordinate,euc dist,2.23,,Ball X Coordinates,Ball Y coordinate,euc dist,2.82
685,298,,2.82,,780,350,33.24,3
713,264,44.04,2.82,,803,374,30.41,3.16
735,240,32.55,3,,824,396,44.04,3.16
753,222,25.45,3.16,,852,430,34.82,4
776,220,23.08,3.6,,874,457,44.2,4.12
785,223,9.46,4,,901,492,45.22,4.24
800,229,16.15,4.24,,927,529,48.01,5
817,238,19.23,5,,955,568,52.69,5.09
833,246,17.88,5.09,,984,612,,5.38
850,258,20.8,5.09,,,,,5.65
868,273,23.43,5.09,,1045,703,17.49,5.83
888,289,25.61,5.38,,1060,694,11.4,6.32
908,309,28.28,5.65,,1057,683,11.4,6.32
928,330,29,5.83,,1050,674,10.63,6.32
950,354,32.55,6,,1043,666,10,6.4
971,381,34.2,6.7,,1035,660,7.61,6.7
995,413,40,7,,1028,657,8,7.07
1011,435,27.2,7.07,,1020,657,6.32,7.07
1045,485,60.46,7.07,,1014,659,9.43,7.21
1069,523,44.94,7.21,,1006,664,4.24,7.21
1135,657,149.37,7.28,,1003,667,,7.28
1123,650,13.89,7.28,,,,,7.61
1109,642,16.12,7.61,,975,497,58.69,7.61
1086,632,25.07,7.82,,966,439,65.76,7.81
1077,631,9.05,8.06,,956,374,52.61,8
1063,629,14.14,8.06,,948,322,45.7,8
1046,629,17,8.06,,940,277,28,8.06
1029,632,17.26,8.24,,940,249,6.7,8.54
981,378,258.49,8.54,,946,252,8.6,8.6
973,331,47.67,8.54,,953,257,7.21,8.6
967,292,39.45,8.54,,957,263,10.29,8.6
979,276,20,8.54,,962,272,6.32,9.21
991,273,12.36,8.6,,964,278,10.77,9.21
1000,273,9,8.6,,968,288,13.92,9.21
1002,275,2.82,8.9,,973,301,15.52,9.43
1004,278,3.6,9,,977,316,16.76,9.43
989,283,15.81,9,,982,332,18.68,9.48
989,290,7,9.05,,987,350,21.58,9.48
990,299,9.05,9.05,,992,371,23.19,9.84
991,310,11.04,9.05,,995,394,25.07,10
992,324,14.03,9.21,,993,419,30.87,10
993,338,14.03,9.21,,1006,447,29.15,10.29
993,357,19,9.43,,1009,476,33.01,10.29
994,377,20.02,9.46,,1008,509,36.49,10.44
995,399,22.02,10,,1014,545,37.48,10.63
997,423,24.08,10,,1020,582,41.43,10.77
999,464,41.04,10.04,,1026,623,38.6,10.77
1000,482,18.02,10.19,,1037,660,10.29,10.77
1001,516,34.01,10.19,,1042,651,8.54,11.18
1003,550,34.05,10.29,,1045,643,7.28,11.4
,,,10.29,,1047,636,6.4,11.4
,,,10.36,,1052,632,5.09,11.4
1012,566,,10.81,,1057,631,7.07,11.66
1014,556,10.19,11.04,,1064,632,5.38,11.66
1016,547,9.21,11.18,,1062,637,,11.7
1019,539,8.54,11.18,,,,,12.16
1017,538,2.23,11.31,,,,,12.2
1017,544,6,11.4,,1027,473,78.58,13
,,,11.4,,1007,397,66.21,13.45
,,,11.4,,990,333,59.9,13.92
,,,12,,975,275,48.66,13.92
,,,12.04,,967,227,47.8,14.86
690,330,,12.04,,954,181,40.52,15.52
676,336,15.23,12.04,,943,142,11.66,16.12
660,346,18.86,12.16,,949,132,4.12,16.49
644,357,19.41,12.36,,953,131,5,16.76
627,370,21.4,12.64,,958,131,3.16,16.76
610,386,23.34,12.64,,961,132,8.6,17.11
592,404,25.45,13.03,,968,137,3,17.46
,,,13.08,,968,140,9.21,17.46
,,,13.34,,974,147,11.18,17.49
,,,13.6,,979,157,9.43,17.72
,,,13.89,,984,165,9.48,18.38
488,534,,14.03,,987,174,13,18.68
454,586,62.12,14.03,,992,186,16.49,19.31
,,,14.14,,996,202,18.38,19.64
430,581,,14.14,,1003,219,21.47,19.92
417,570,17.02,14.14,,993,238,23.34,20.24
405,??,,14.14,,997,261,23.53,20.88
,,,14.21,,1002,284,27.45,21.47
,,,14.42,,1007,311,28.28,21.47
,,,14.76,,1011,339,32.38,21.58
,,,14.86,,1016,371,33.37,21.93
573,410,,14.86,,1021,404,38.32,22.8
610,387,43.5,15,,1026,442,39.31,22.82
644,382,34.36,15.23,,1031,481,43.28,22.84
,,,15.65,,1036,524,46.38,23.19
,,,15.81,,1042,570,47.26,23.34
,,,16.03,,1047,617,53.33,23.53
707,428,,16.12,,1053,670,,24.51
726,445,25.49,16.12,,,,,24.69
746,465,28.28,16.12,,,,,25.07
767,494,35.8,16.12,,,,,25.8
,,,16.15,,,,,26.4
,,,16.15,,1077,711,7.81,27.45
,,,16.76,,1082,705,9.21,27.65
840,541,,17,,1084,696,12.16,27.8
857,533,18.78,17.02,,1082,684,16.12,28
869,529,12.64,17.26,,1080,668,11.4,28.28
883,527,14.14,17.46,,1077,657,10.44,28.42
895,527,12,17.88,,1074,647,9.84,29.15
904,529,9.21,18.02,,1070,638,6.32,29.42
915,532,11.4,18.35,,1068,632,,29.54
930,538,16.15,18.78,,,,,30.41
946,539,16.03,18.86,,1063,628,3.16,30.87
,,,18.86,,1060,629,7.21,31.14
940,493,,19,,1056,635,2.82,32.38
930,454,40.26,19.23,,1054,637,7.61,32.55
919,420,35.73,19.41,,1051,644,9.48,33.01
915,408,12.64,20,,1048,653,11.7,33.24
920,399,10.29,20.02,,1044,664,,33.37
924,403,5.65,20.09,,,,,34.13
934,414,14.86,20.8,,,,,34.82
940,423,10.81,20.8,,,,,35.51
952,440,20.8,21.09,,766,367,79.93,36.06
962,456,18.86,21.4,,711,309,34.13,36.49
972,475,21.4,21.4,,682,291,17.11,37.48
983,497,24.59,21.54,,665,293,17.46,37.69
994,520,25.49,21.84,,648,297,19.31,37.8
1005,545,27.31,21.93,,630,304,20.24,38.18
1016,542,11.4,22.02,,611,311,21.47,38.32
1024,537,9.43,22.2,,592,321,22.82,38.6
1032,531,10,23.08,,572,332,24.69,38.94
1039,529,7.28,23.34,,551,345,25.8,39.31
1048,529,9,23.43,,530,360,28.42,40.52
1055,530,7.07,23.76,,508,378,27.8,41.43
1060,532,5.38,24.08,,486,395,31.14,43.28
,,,24.18,,463,416,38.18,44.04
,,,24.51,,436,443,36.06,44.2
,,,24.59,,411,469,38.94,45.22
788,379,,24.69,,385,498,75.61,45.7
743,355,51,24.73,,359,427,,46.38
711,349,32.55,25.07,,328,567,37.8,47.26
689,352,22.2,25.07,,305,597,57.8,47.8
665,357,24.51,25.45,,270,643,,48.01
641,363,24.73,25.45,,,,,48.66
616,371,26.24,25.49,,216,695,14.86,51.24
590,381,27.85,25.49,,205,685,12.2,52.61
563,393,29.54,25.61,,212,675,13.45,52.69
535,408,31.76,26.24,,222,666,11.66,53.33
506,424,33.12,26.41,,232,660,8.06,57.8
475,445,37.44,27.2,,239,656,8,58.24
443,466,38.27,27.31,,247,656,7.07,58.69
410,491,41.4,27.78,,254,657,9.21,59.9
376,518,43.41,27.85,,263,659,,65.76
,,,27.85,,,,,66.21
,,,28.28,,291,661,,73.08
265,610,,28.28,,320,473,73.08,75.61
247,599,21.09,29,,341,403,58.24,78.58
227,590,21.93,29,,357,347,51.24,79.93
207,582,21.54,29.54,,372,298,95.7,95.7
212,572,11.18,31.06,,286,256,105.72,105.72
221,564,12.04,31.76,,390,237,5.83,
232,555,14.21,32.2,,385,240,5.65,
240,553,8.24,32.55,,381,244,8.6,
248,552,8.06,32.55,,376,251,10,
256,553,8.06,32.55,,370,259,10.77,
264,556,8.54,33.12,,366,269,10.77,
270,559,6.7,33.13,,362,279,13.92,
282,567,14.42,33.83,,357,292,16.76,
289,564,7.61,34.01,,352,308,17.72,
,,,34.05,,347,325,19.64,
350,407,,34.2,,342,344,22.8,
364,371,38.62,34.36,,336,366,24.51,
379,336,38.07,34.4,,331,390,27.65,
389,310,27.85,35.73,,325,417,29.42,
386,306,5,35.8,,320,446,32.55,
379,308,7.82,36.12,,314,478,35.51,
372,313,8.6,36.68,,308,513,,
364,319,10,37.44,,,,,
356,328,12.04,38.07,,317,510,37.69,
349,339,13.03,38.27,,331,475,29.54,
340,351,15,38.62,,343,448,26.4,
331,367,18.35,39.11,,354,424,21.93,
324,381,15.65,39.45,,363,404,4,
314,404,25.07,39.66,,363,408,22.84,
307,420,17.46,40,,354,429,19.92,
,,,40.26,,348,448,20.88,
285,481,,41.04,,342,468,17.46,
274,513,33.83,41.4,,335,484,,
263,548,36.68,43.41,,,,,
,,,43.5,,,,,
236,641,,44.04,,,,,
231,632,10.29,44.94,,,,,
224,619,14.76,47.67,,,,,
217,608,13.08,51,,,,,
209,599,12.04,60.46,,,,,
201,592,10.36,62.12,,,,,
194,587,8.6,69.35,,,,,
185,588,9.05,98.11,,,,,
178,586,7.28,,,,,,
170,589,8.54,,,,,,
161,596,11.4,,,,,,
153,604,11.31,,,,,,
145,615,13.6,,,,,,
143,617,2.82,,,,,,
146,612,5.83,,,,,,
151,607,7.07,,,,,,
154,606,3.16,,,,,,
158,606,4,,,,,,
161,609,4.24,,,,,,
165,615,7.21,,,,,,
169,623,8.9,,,,,,
172,631,8.54,,,,,,
177,645,14.86,,,,,,
165,666,24.18,,,,,,
214,581,98.11,,,,,,
,,,,,,,,
260,467,,,,,,,
293,406,69.35,,,,,,
315,373,39.66,,,,,,
335,345,34.4,,,,,,
333,331,14.14,,,,,,
322,333,11.18,,,,,,
??,337,,,,,,,
??,344,,,,,,,
336,351,,,,,,,
334,361,10.19,,,,,,
331,374,13.34,,,,,,
329,388,14.14,,,,,,
327,404,16.12,,,,,,
325,420,16.12,,,,,,
,,,,,,,,
320,470,,,,,,,
318,490,20.09,,,,,,
315,526,36.12,,,,,,
312,559,33.13,,,,,,
309,598,39.11,,,,,,
309,595,3,,,,,,
307,583,12.16,,,,,,
306,573,10.04,,,,,,
305,565,8.06,,,,,,
304,560,5.09,,,,,,
305,565,5.09,,,,,,
310,566,5.09,,,,,,
,,,,,,,,
501,406,,,,,,,
,,,,,,,,
,,,,,,,,
637,315,,,,,,,
666,315,29,,,,,,
682,317,16.12,,,,,,
698,322,16.76,,,,,,
719,328,21.84,,,,,,
742,337,24.69,,,,,,
764,346,23.76,,,,,,
787,359,26.41,,,,,,
811,373,27.78,,,,,,
837,390,31.06,,,,,,
863,409,32.2,,,,,,
